idx,kind,rating,compliance,answer_model,judge_model
0,missing_context,6,1,gpt-5,gpt-5
2,missing_context,6,1,gpt-5,gpt-5
0,baseline,5,0,gpt-5,gpt-5
2,incomplete,5,0,gpt-5,gpt-5
0,ocr,5,0,gpt-5,gpt-5
1,baseline,5,0,gpt-5,gpt-5
1,incomplete,5,0,gpt-5,gpt-5
0,misspelled,5,0,gpt-5,gpt-5
1,out_of_domain,5,0,gpt-5,gpt-5
0,out_of_domain,5,0,gpt-5,gpt-5
1,misspelled,5,0,gpt-5,gpt-5
0,incomplete,5,0,gpt-5,gpt-5
1,missing_context,6,1,gpt-5,gpt-5
2,misspelled,5,0,gpt-5,gpt-5
1,out_of_scope,6,1,gpt-5,gpt-5
0,out_of_scope,6,1,gpt-5,gpt-5
2,baseline,5,0,gpt-5,gpt-5
2,out_of_domain,5,0,gpt-5,gpt-5
2,ocr,5,0,gpt-5,gpt-5
1,ocr,5,0,gpt-5,gpt-5
3,missing_context,6,1,gpt-5,gpt-5
3,incomplete,6,1,gpt-5,gpt-5
4,missing_context,6,1,gpt-5,gpt-5
3,misspelled,6,1,gpt-5,gpt-5
5,incomplete,5,0,gpt-5,gpt-5
2,out_of_scope,5,0,gpt-5,gpt-5
5,missing_context,6,1,gpt-5,gpt-5
5,out_of_domain,5,0,gpt-5,gpt-5
4,out_of_domain,1,0,gpt-5,gpt-5
5,baseline,5,0,gpt-5,gpt-5
3,out_of_domain,6,1,gpt-5,gpt-5
4,incomplete,6,1,gpt-5,gpt-5
3,out_of_scope,6,1,gpt-5,gpt-5
3,ocr,6,1,gpt-5,gpt-5
4,out_of_scope,6,1,gpt-5,gpt-5
6,missing_context,6,1,gpt-5,gpt-5
6,baseline,5,0,gpt-5,gpt-5
6,incomplete,6,1,gpt-5,gpt-5
3,baseline,6,1,gpt-5,gpt-5
4,misspelled,3,0,gpt-5,gpt-5
4,baseline,3,0,gpt-5,gpt-5
6,misspelled,6,1,gpt-5,gpt-5
6,ocr,5,0,gpt-5,gpt-5
4,ocr,6,1,gpt-5,gpt-5
7,missing_context,6,1,gpt-5,gpt-5
6,out_of_domain,6,1,gpt-5,gpt-5
5,out_of_scope,6,1,gpt-5,gpt-5
8,baseline,5,0,gpt-5,gpt-5
6,out_of_scope,6,1,gpt-5,gpt-5
7,baseline,6,1,gpt-5,gpt-5
7,out_of_scope,6,1,gpt-5,gpt-5
8,incomplete,3,0,gpt-5,gpt-5
8,out_of_scope,6,1,gpt-5,gpt-5
8,ocr,6,1,gpt-5,gpt-5
8,missing_context,6,1,gpt-5,gpt-5
5,ocr,5,0,gpt-5,gpt-5
9,out_of_domain,5,0,gpt-5,gpt-5
7,out_of_domain,6,1,gpt-5,gpt-5
8,out_of_domain,1,0,gpt-5,gpt-5
9,misspelled,5,0,gpt-5,gpt-5
9,incomplete,5,0,gpt-5,gpt-5
8,misspelled,5,0,gpt-5,gpt-5
9,missing_context,6,1,gpt-5,gpt-5
7,misspelled,6,1,gpt-5,gpt-5
9,baseline,5,0,gpt-5,gpt-5
7,incomplete,6,1,gpt-5,gpt-5
10,incomplete,5,0,gpt-5,gpt-5
10,missing_context,6,1,gpt-5,gpt-5
10,misspelled,5,0,gpt-5,gpt-5
9,ocr,5,0,gpt-5,gpt-5
10,ocr,5,0,gpt-5,gpt-5
10,baseline,5,0,gpt-5,gpt-5
7,ocr,6,1,gpt-5,gpt-5
